id,title,release_date,genres,popularity,vote_average,vote_count
950387,A Minecraft Movie,2025-03-31,"['Other', 'Comedy', 'Other', 'Other']",694.9673,6.526,1419
574475,Final Destination Bloodlines,2025-05-09,"['Horror', 'Other']",535.0346,7.075,394
552524,Lilo & Stitch,2025-05-17,"['Other', 'Comedy', 'Other']",508.3123,7.115,135
1197306,A Working Man,2025-03-26,"['Action', 'Other', 'Thriller']",314.9315,6.676,969
575265,Mission: Impossible - The Final Reckoning,2025-05-17,"['Action', 'Other', 'Thriller']",325.1914,7.01,263
447273,Snow White,2025-03-12,"['Other', 'Other']",268.7116,4.3,926
1232546,Until Dawn,2025-04-23,"['Horror', 'Other']",287.8015,6.32,291
1241436,Warfare,2025-04-09,"['Other', 'Action']",262.0183,7.226,419
1098006,Fountain of Youth,2025-05-19,"['Other', 'Other', 'Other']",221.1354,6.789,114
977294,Tin Soldier,2025-05-22,"['Action', 'Thriller']",206.7337,5.156,32
896536,The Legend of Ochi,2025-04-18,"['Other', 'Other', 'Other']",240.693,6.075,67
986056,Thunderbolts*,2025-04-30,"['Action', 'Other', 'Other']",167.4446,7.464,976
324544,In the Lost Lands,2025-02-27,"['Action', 'Other', 'Other']",145.0698,6.4,388
1092073,The Haunting at Saint Joseph's,2023-02-26,"['Horror', 'Thriller']",139.0719,4.6,11
822119,Captain America: Brave New World,2025-02-12,"['Action', 'Thriller', 'Other']",134.5154,6.107,1896
1297028,Rosario,2025-05-01,['Horror'],150.8553,4.9,13
1359977,Conjuring the Cult,2024-10-01,"['Horror', 'Drama']",117.842,5.4,25
1001414,Fear Street: Prom Queen,2025-05-23,"['Horror', 'Other']",215.8355,5.37,104
1233413,Sinners,2025-04-16,"['Horror', 'Thriller']",111.2267,7.552,768
668489,Havoc,2025-04-25,"['Action', 'Other', 'Thriller']",113.1681,6.532,698
710258,Rust,2025-05-01,['Other'],111.3931,6.365,52
1180763,From the Shadows,2023-09-22,"['Thriller', 'Other', 'Horror']",83.534,3.1,4
1241982,Moana 2,2024-11-21,"['Other', 'Other', 'Other', 'Comedy']",114.9059,7.082,2386
762509,Mufasa: The Lion King,2024-12-18,"['Other', 'Other', 'Other']",89.6888,7.4,2131
1040159,My Massive Cock,2022-10-24,['Other'],82.3586,5.1,7
1011477,Karate Kid: Legends,2025-05-08,"['Action', 'Other', 'Drama']",83.6855,7.7,36
575264,Mission: Impossible - Dead Reckoning Part One,2023-07-08,"['Action', 'Other', 'Thriller']",82.9695,7.535,4265
939243,Sonic the Hedgehog 3,2024-12-19,"['Action', 'Other', 'Comedy', 'Other']",81.8578,7.716,2605
55779,Final Destination 5,2011-08-12,"['Horror', 'Other']",79.8319,6.125,3622
1153714,Death of a Unicorn,2025-03-27,"['Horror', 'Other', 'Comedy']",75.6604,6.4,246
1124620,The Monkey,2025-02-14,"['Horror', 'Comedy']",76.5206,5.899,638
1482554,Soul to Squeeze,2025-05-16,"['Thriller', 'Drama', 'Other']",74.715,4.7,3
1356236,Saint Catherine,2024-09-24,['Horror'],64.3093,6.908,38
950396,The Gorge,2025-02-13,"['Romance', 'Other', 'Thriller']",61.9668,7.706,2606
846433,The Enforcer,2022-09-22,"['Action', 'Other', 'Drama']",57.6419,7.091,428
1195506,Novocaine,2025-03-12,"['Action', 'Comedy', 'Thriller']",62.783,6.902,787
1180906,Desert Dawn,2025-05-15,"['Action', 'Other', 'Other', 'Thriller']",62.2157,7.833,6
458220,Palmer,2021-01-28,['Drama'],53.8103,8.127,1734
1126166,Flight Risk,2025-01-22,"['Action', 'Thriller']",58.6218,6.113,739
1045938,G20,2025-04-10,"['Action', 'Other', 'Drama']",59.9856,6.546,499
1414048,Day of Reckoning,2025-03-28,"['Other', 'Action']",56.4243,6.7,17
912649,Venom: The Last Dance,2024-10-22,"['Action', 'Other', 'Other']",51.7178,6.7,3383
1078600,Marked Men: Rule + Shaw,2025-01-22,"['Romance', 'Drama']",45.6339,6.384,69
1184918,The Wild Robot,2024-09-12,"['Other', 'Other', 'Other']",56.4225,8.316,4937
1092899,The Siege,2023-03-10,"['Action', 'Thriller']",52.3604,5.413,52
533535,Deadpool & Wolverine,2024-07-24,"['Action', 'Comedy', 'Other']",49.2494,7.594,7261
427719,X-Rated 2: The Greatest Adult Stars of All-Time,2016-10-28,['Other'],47.41,6.7,101
1011985,Kung Fu Panda 4,2024-03-02,"['Other', 'Other', 'Action', 'Comedy', 'Other', 'Other']",46.5899,7.064,3082
933260,The Substance,2024-09-07,"['Horror', 'Other']",46.7181,7.1,4647
778578,Cry of Silence,2024-05-01,"['Thriller', 'Drama', 'Action']",44.8638,5.818,11
870028,The AccountantÂ²,2025-04-23,"['Other', 'Thriller', 'Action']",44.4762,7.1,171
519182,Despicable Me 4,2024-06-20,"['Other', 'Other', 'Comedy', 'Other']",48.5834,7.043,2771
1249213,Drop,2025-04-10,"['Other', 'Thriller']",40.3756,6.515,344
696506,Mickey 17,2025-02-28,"['Other', 'Comedy', 'Other']",50.4762,6.908,2023
1022789,Inside Out 2,2024-06-11,"['Other', 'Other', 'Comedy', 'Other']",46.2385,7.554,5865
1313194,Summer of 69,2025-03-13,"['Comedy', 'Drama']",44.0331,5.979,24
539972,Kraven the Hunter,2024-12-11,"['Action', 'Other', 'Thriller']",43.3702,6.561,1700
842328,Wish You Were Here,2025-01-17,"['Romance', 'Drama']",40.7241,6.577,13
24428,The Avengers,2012-04-25,"['Other', 'Action', 'Other']",41.7804,7.752,31876
974573,Another Simple Favor,2025-03-07,"['Comedy', 'Thriller', 'Other']",40.3042,6.0,278
1244944,The Woman in the Yard,2025-03-27,"['Horror', 'Other']",40.0835,6.2,168
558449,Gladiator II,2024-11-13,"['Action', 'Other', 'Drama']",41.8411,6.74,3382
1234821,Jurassic World Rebirth,2025-07-01,"['Other', 'Other', 'Thriller']",39.4891,0.0,0
157336,Interstellar,2014-11-05,"['Other', 'Drama', 'Other']",37.8853,8.454,37170
353081,Mission: Impossible - Fallout,2018-07-13,"['Action', 'Other']",37.5694,7.4,8507
1293286,Gunslingers,2025-04-11,"['Other', 'Action']",38.7934,6.453,53
1083968,Locked,2025-03-20,['Thriller'],33.9548,6.315,143
1411773,The Last Stand of Ellen Cole,2024-10-18,"['Action', 'Other']",32.2355,8.045,11
56292,Mission: Impossible - Ghost Protocol,2011-12-07,"['Action', 'Thriller', 'Other']",35.5616,7.1,10144
138843,The Conjuring,2013-07-18,"['Horror', 'Thriller']",35.0747,7.541,11859
1064213,Anora,2024-10-14,"['Drama', 'Comedy', 'Romance']",33.6132,7.0,2190
700348,The Intern: A Summer of Lust,2019-12-01,['Drama'],33.303,5.3,13
1064486,Memoir of a Snail,2024-10-17,"['Other', 'Drama', 'Comedy']",35.7685,8.068,510
1242669,Mr. K,2025-01-16,"['Drama', 'Other']",32.2119,5.8,13
1294203,My Fault: London,2025-02-12,"['Romance', 'Drama']",34.6893,7.45,397
1249289,Alarum,2025-01-16,"['Action', 'Other', 'Thriller']",33.8198,5.756,289
299536,Avengers: Infinity War,2018-04-25,"['Other', 'Action', 'Other']",34.8536,8.236,30547
1125899,Cleaner,2025-02-19,"['Action', 'Thriller']",32.5856,6.6,258
1151039,Nonnas,2025-05-01,['Comedy'],33.1237,6.803,185
1212855,Fight or Flight,2025-04-03,"['Action', 'Comedy', 'Thriller']",34.9103,5.856,104
1020414,Peter Pan's Neverland Nightmare,2025-01-13,"['Horror', 'Thriller', 'Other']",31.0706,5.266,79
945961,Alien: Romulus,2024-08-13,"['Horror', 'Other']",31.5715,7.196,3649
845781,Red One,2024-10-31,"['Action', 'Comedy', 'Other']",31.9387,7.0,2518
385687,Fast X,2023-05-17,"['Action', 'Other', 'Thriller', 'Other', 'Other']",34.5269,7.042,5898
573435,Bad Boys: Ride or Die,2024-06-05,"['Action', 'Comedy', 'Other', 'Thriller', 'Other']",32.6714,7.378,2900
346698,Barbie,2023-07-19,"['Comedy', 'Other']",30.3888,6.973,9905
1084199,Companion,2025-01-22,"['Horror', 'Other', 'Thriller']",30.27,7.066,1305
974576,Conclave,2024-10-25,"['Drama', 'Thriller', 'Other']",29.5711,7.186,2519
1018247,MK Ultra,2022-10-07,['Thriller'],31.0643,5.529,34
302946,The Accountant,2016-10-13,"['Other', 'Thriller', 'Drama']",30.0063,7.112,6572
693134,Dune: Part Two,2024-02-27,"['Other', 'Other']",28.5458,8.145,6680
1104845,Plankton: The Movie,2025-03-08,"['Other', 'Other', 'Comedy', 'Other', 'Other']",32.6293,6.813,104
1136721,The Glenarma Tapes,2024-04-02,['Horror'],26.6189,6.077,13
1373723,The Codes of War,2025-03-20,"['Action', 'Other']",29.2712,6.1,60
361743,Top Gun: Maverick,2022-05-21,"['Action', 'Drama']",32.0287,8.176,9861
177677,Mission: Impossible - Rogue Nation,2015-07-23,"['Action', 'Other']",28.9358,7.2,9089
872585,Oppenheimer,2023-07-19,"['Drama', 'Other']",29.0929,8.058,10254
402431,Wicked,2024-11-20,"['Drama', 'Romance', 'Other']",28.61,6.9,2129
269149,Zootopia,2016-02-11,"['Other', 'Other', 'Other', 'Comedy']",30.2497,7.748,16692
1087192,How to Train Your Dragon,2025-06-06,"['Action', 'Other', 'Other']",29.0473,0.0,0
