platform_Both,platform_Cinema,platform_OTT,region_Europe,region_Global,region_India,region_USA,genre_Action,genre_Comedy,genre_Drama,genre_Romance,genre_Horror,genre_Thriller,genre_Other
False,True,False,False,False,True,False,0,1,0,0,0,0,1
False,True,False,False,False,True,False,0,0,0,0,1,0,1
False,True,False,False,False,True,False,0,1,0,0,0,0,1
False,True,False,False,False,True,False,1,0,0,0,0,1,1
False,True,False,False,False,True,False,1,0,0,0,0,1,1
False,True,False,False,False,True,False,0,0,0,0,0,0,1
False,True,False,False,False,True,False,0,0,0,0,1,0,1
False,True,False,False,False,True,False,1,0,0,0,0,0,1
False,True,False,False,False,True,False,0,0,0,0,0,0,1
False,True,False,False,False,True,False,1,0,0,0,0,1,0
False,True,False,False,False,True,False,0,0,0,0,0,0,1
False,True,False,False,False,True,False,1,0,0,0,0,0,1
False,True,False,False,False,True,False,1,0,0,0,0,0,1
False,True,False,False,False,True,False,0,0,0,0,1,1,0
False,True,False,False,False,True,False,1,0,0,0,0,1,1
False,True,False,False,False,True,False,0,0,0,0,1,0,0
False,True,False,False,False,True,False,0,0,1,0,1,0,0
False,True,False,False,False,True,False,0,0,0,0,1,0,1
False,True,False,False,False,True,False,0,0,0,0,1,1,0
False,True,False,False,False,True,False,1,0,0,0,0,1,1
False,True,False,False,False,True,False,0,0,0,0,0,0,1
False,True,False,False,False,True,False,0,0,0,0,1,1,1
False,True,False,False,False,True,False,0,1,0,0,0,0,1
False,True,False,False,False,True,False,0,0,0,0,0,0,1
False,True,False,False,False,True,False,0,0,0,0,0,0,1
False,True,False,False,False,True,False,1,0,1,0,0,0,1
False,True,False,False,False,True,False,1,0,0,0,0,1,1
False,True,False,False,False,True,False,1,1,0,0,0,0,1
False,True,False,False,False,True,False,0,0,0,0,1,0,1
False,True,False,False,False,True,False,0,1,0,0,1,0,1
False,True,False,False,False,True,False,0,1,0,0,1,0,0
False,True,False,False,False,True,False,0,0,1,0,0,1,1
False,True,False,False,False,True,False,0,0,0,0,1,0,0
False,True,False,False,False,True,False,0,0,0,1,0,1,1
False,True,False,False,False,True,False,1,0,1,0,0,0,1
False,True,False,False,False,True,False,1,1,0,0,0,1,0
False,True,False,False,False,True,False,1,0,0,0,0,1,1
False,True,False,False,False,True,False,0,0,1,0,0,0,0
False,True,False,False,False,True,False,1,0,0,0,0,1,0
False,True,False,False,False,True,False,1,0,1,0,0,0,1
False,True,False,False,False,True,False,1,0,0,0,0,0,1
False,True,False,False,False,True,False,1,0,0,0,0,0,1
False,True,False,False,False,True,False,0,0,1,1,0,0,0
False,True,False,False,False,True,False,0,0,0,0,0,0,1
False,True,False,False,False,True,False,1,0,0,0,0,1,0
False,True,False,False,False,True,False,1,1,0,0,0,0,1
False,True,False,False,False,True,False,0,0,0,0,0,0,1
False,True,False,False,False,True,False,1,1,0,0,0,0,1
False,True,False,False,False,True,False,0,0,0,0,1,0,1
False,True,False,False,False,True,False,1,0,1,0,0,1,0
False,True,False,False,False,True,False,1,0,0,0,0,1,1
False,True,False,False,False,True,False,0,1,0,0,0,0,1
False,True,False,False,False,True,False,0,0,0,0,0,1,1
False,True,False,False,False,True,False,0,1,0,0,0,0,1
False,True,False,False,False,True,False,0,1,0,0,0,0,1
False,True,False,False,False,True,False,0,1,1,0,0,0,0
False,True,False,False,False,True,False,1,0,0,0,0,1,1
False,True,False,False,False,True,False,0,0,1,1,0,0,0
False,True,False,False,False,True,False,1,0,0,0,0,0,1
False,True,False,False,False,True,False,0,1,0,0,0,1,1
False,True,False,False,False,True,False,0,0,0,0,1,0,1
False,True,False,False,False,True,False,1,0,1,0,0,0,1
False,True,False,False,False,True,False,0,0,0,0,0,1,1
False,True,False,False,False,True,False,0,0,1,0,0,0,1
False,True,False,False,False,True,False,1,0,0,0,0,0,1
False,True,False,False,False,True,False,1,0,0,0,0,0,1
False,True,False,False,False,True,False,0,0,0,0,0,1,0
False,True,False,False,False,True,False,1,0,0,0,0,0,1
False,True,False,False,False,True,False,1,0,0,0,0,1,1
False,True,False,False,False,True,False,0,0,0,0,1,1,0
False,True,False,False,False,True,False,0,1,1,1,0,0,0
False,True,False,False,False,True,False,0,0,1,0,0,0,0
False,True,False,False,False,True,False,0,1,1,0,0,0,1
False,True,False,False,False,True,False,0,0,1,0,0,0,1
False,True,False,False,False,True,False,0,0,1,1,0,0,0
False,True,False,False,False,True,False,1,0,0,0,0,1,1
False,True,False,False,False,True,False,1,0,0,0,0,0,1
False,True,False,False,False,True,False,1,0,0,0,0,1,0
False,True,False,False,False,True,False,0,1,0,0,0,0,0
False,True,False,False,False,True,False,1,1,0,0,0,1,0
False,True,False,False,False,True,False,0,0,0,0,1,1,1
False,True,False,False,False,True,False,0,0,0,0,1,0,1
False,True,False,False,False,True,False,1,1,0,0,0,0,1
False,True,False,False,False,True,False,1,0,0,0,0,1,1
False,True,False,False,False,True,False,1,1,0,0,0,1,1
False,True,False,False,False,True,False,0,1,0,0,0,0,1
False,True,False,False,False,True,False,0,0,0,0,1,1,1
False,True,False,False,False,True,False,0,0,1,0,0,1,1
False,True,False,False,False,True,False,0,0,0,0,0,1,0
False,True,False,False,False,True,False,0,0,1,0,0,1,1
False,True,False,False,False,True,False,0,0,0,0,0,0,1
False,True,False,False,False,True,False,0,1,0,0,0,0,1
False,True,False,False,False,True,False,0,0,0,0,1,0,0
False,True,False,False,False,True,False,1,0,0,0,0,0,1
False,True,False,False,False,True,False,1,0,1,0,0,0,0
False,True,False,False,False,True,False,1,0,0,0,0,0,1
False,True,False,False,False,True,False,0,0,1,0,0,0,1
False,True,False,False,False,True,False,0,0,1,1,0,0,1
False,True,False,False,False,True,False,0,1,0,0,0,0,1
False,True,False,False,False,True,False,1,0,0,0,0,0,1
False,True,False,False,False,True,False,0,0,0,0,0,0,1
False,False,True,False,False,False,True,0,0,0,0,0,0,1
True,False,False,True,False,False,False,0,0,0,0,0,0,1
False,True,False,False,True,False,False,0,0,0,0,0,0,1
False,False,True,False,False,True,False,0,0,0,0,0,0,1
True,False,False,False,False,False,True,0,0,0,0,0,0,1
False,True,False,True,False,False,False,0,0,0,0,0,0,1
False,False,True,False,True,False,False,0,0,0,0,0,0,1
True,False,False,False,False,True,False,0,0,0,0,0,0,1
False,True,False,False,False,False,True,0,0,0,0,0,0,1
False,False,True,True,False,False,False,0,0,0,0,0,0,1
True,False,False,False,True,False,False,0,0,0,0,0,0,1
